,id,date,type,value,elo,avg_brightness,avg_entropy,avg_hm,img,title
66,1591721298-8221,1885-03-01,arousal,0.462302995409,-15.510197771,43.783646735030175,19.029106133062253,1.5513240080846618,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings
67,1591721298-8221,1885-03-01,valence,0.316892887993,-336.437423047,43.783646735030175,19.029106133062253,1.5513240080846618,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings
68,1591721298-9150,1883-03-01,creativity,0.486348036267,-34.2636296491,211.6010077880094,20.76637695801561,10.945965257315974,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard
69,1591721298-9150,1883-03-01,cohesivity,0.5141846316950001,0.40188606523599996,211.6010077880094,20.76637695801561,10.945965257315974,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard
70,1591721298-9150,1883-03-01,arousal,0.455595060564,-150.569157936,211.6010077880094,20.76637695801561,10.945965257315974,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard
71,1591721298-9150,1883-03-01,valence,0.447469093122,-108.760514069,211.6010077880094,20.76637695801561,10.945965257315974,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard
72,1591721298-8834,1889-12-01,cohesivity,0.35846063136699996,-229.941455232,145.95717503128682,20.85658169806841,20.277564151380172,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background
73,1591721298-8834,1889-12-01,arousal,0.530318735352,75.7582337335,145.95717503128682,20.85658169806841,20.277564151380172,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background
74,1591721298-8834,1889-12-01,creativity,0.551026840461,60.766409609300005,145.95717503128682,20.85658169806841,20.277564151380172,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background
75,1591721298-8834,1889-12-01,valence,0.350444832969,-245.12289989099997,145.95717503128682,20.85658169806841,20.277564151380172,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background
